Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score,BMI,combined_data,label
Ryan Reaves,reavery01,PIT,RW,2.4,73,225,0.5269488943000193,29.681929067367236,0.526948894300019_73_225_29.6819290673672,5
Oskar Sundqvist,sundqos01,STL,C,2.4,75,209,0.5269488943000193,26.120355555555555,0.526948894300019_75_209_26.1203555555556,5
Brett Ritchie,ritchbr01,DAL,RW,2.4,75,217,0.5269488943000193,27.120177777777776,0.526948894300019_75_217_27.1201777777778,5
Nick Schmaltz,schmani01,CHI,LW,2.3,72,177,0.5024637557272774,24.00289351851852,0.502463755727277_72_177_24.0028935185185,5
Ondrej Kase,kaseon01,ANA,RW,2.3,72,185,0.5024637557272774,25.087770061728396,0.502463755727277_72_185_25.0877700617284,5
Matt Hendricks,hendrma01,WPG,LW,2.3,72,209,0.5024637557272774,28.342399691358025,0.502463755727277_72_209_28.342399691358,5
Carl Gunnarsson,gunnaca01,STL,D,2.3,74,198,0.5024637557272774,25.41891891891892,0.502463755727277_74_198_25.4189189189189,5
Julius Honka,honkaju01,DAL,D,2.2,71,186,0.47797861715453555,25.938901011704026,0.477978617154536_71_186_25.938901011704,5
Anders Bjork,bjorkan01,BOS,LW,2.2,72,186,0.47797861715453555,25.22337962962963,0.477978617154536_72_186_25.2233796296296,5
Dylan DeMelo,demeldy01,SJS,D,2.2,73,195,0.47797861715453555,25.724338525051603,0.477978617154536_73_195_25.7243385250516,5
Dan Girardi,girarda01,TBL,D,2.2,73,212,0.47797861715453555,27.96697316569713,0.477978617154536_73_212_27.9669731656971,5
Henrik Sedin,sedinhe01,VAN,C,2.2,74,183,0.47797861715453555,23.493243243243242,0.477978617154536_74_183_23.4932432432432,5
Ryan Suter,suterry01,MIN,D,2.2,74,202,0.47797861715453555,25.93243243243243,0.477978617154536_74_202_25.9324324324324,5
Tomas Hertl,hertlto01,SJS,C,2.2,74,220,0.47797861715453555,28.243243243243242,0.477978617154536_74_220_28.2432432432432,5
Brett Pesce,pescebr01,CAR,D,2.2,75,200,0.47797861715453555,24.995555555555555,0.477978617154536_75_200_24.9955555555556,5
Ryan Johansen,johanry01,NSH,C,2.2,75,218,0.47797861715453555,27.245155555555556,0.477978617154536_75_218_27.2451555555556,5
Jaromir Jagr,jagrja01,CGY,RW,2.2,75,230,0.47797861715453555,28.744888888888887,0.477978617154536_75_230_28.7448888888889,5
Stephen Johns,johnsst03,DAL,D,2.2,76,221,0.47797861715453555,26.898026315789473,0.477978617154536_76_221_26.8980263157895,5
Ryan Getzlaf,getzlry01,ANA,C,2.2,76,223,0.47797861715453555,27.14144736842105,0.477978617154536_76_223_27.1414473684211,5
Anthony Mantha,manthan01,DET,RW,2.2,77,225,0.47797861715453555,26.678191937932198,0.477978617154536_77_225_26.6781919379322,5
Tyler Pitlick,pitlity01,DAL,C,2.1,74,200,0.45349347858179356,25.675675675675677,0.453493478581794_74_200_25.6756756756757,5
Christian Folin,folinch01,LAK,D,2.1,75,204,0.45349347858179356,25.495466666666665,0.453493478581794_75_204_25.4954666666667,5
Brian Boyle,boylebr01,NJD,C,2.1,78,245,0.45349347858179356,28.309500328731097,0.453493478581794_78_245_28.3095003287311,5
Tyler Johnson,johnsty01,TBL,C,2,68,183,0.42900834000905164,27.822015570934255,0.429008340009052_68_183_27.8220155709343,5
Teuvo Teravainen,teravte01,CAR,LW,2,71,178,0.42900834000905164,24.82324935528665,0.429008340009052_71_178_24.8232493552866,5
