Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI
LeGarrette Blount,BlouLe00,PHI,RB,-27,73,245,0.6313044200089235,32.320322762244324
Jordy Nelson,NelsJo00,GNB,WR,-27,75,215,0.6313044200089235,26.87022222222222
Jesse James,JameJe00,PIT,TE,-27,79,254,0.6313044200089235,28.611120012818457
Ameer Abdullah,AbduAm00,DET,RB,-28,68,198,0.6167473741329272,30.10250865051903
Josh Doctson,DoctJo00,WAS,WR,-28,74,202,0.6167473741329272,25.93243243243243
Martavis Bryant,BryaMa00,PIT,WR,-30,76,211,0.5876332823809345,25.68092105263158
Ed Dickson,DickEd00,CAR,TE,-30,76,244,0.5876332823809345,29.69736842105263
Antonio Gates,GateAn00,LAC,TE,-30,76,260,0.5876332823809345,31.644736842105264
Austin Seferian-Jenkins,SefeAu00,NYJ,TE,-30,78,262,0.5876332823809345,30.273833004602235
Ryan Grant,GranRy01,WAS,WR,-32,72,199,0.5585191906289418,26.98630401234568
Tyrod Taylor,TaylTy00,BUF,QB,-32,72,221,0.5585191906289418,29.96971450617284
Danny Amendola,AmenDa00,NWE,WR,-35,71,183,0.5148480530009527,25.52053164054751
Chris Hogan,HogaCh00,NWE,WR,-37,73,220,0.48573396124896007,29.022330643647965
DeVante Parker,ParkDe01,MIA,WR,-38,75,209,0.4711769153729637,26.120355555555555
Seth Devalve,DevaSe00,CLE,TE,-38,76,245,0.4711769153729637,29.81907894736842
Jermaine Gresham,GresJe00,ARI,TE,-38,77,261,0.4711769153729637,30.94670264800135
Albert Wilson,WilsAl02,KAN,WR,-39,69,200,0.45661986949696737,29.531611006091158
Tyler Lockett,LockTy00,SEA,WR,-40,70,181,0.442062823620971,25.967959183673468
Samaje Perine,PeriSa00,WAS,RB,-40,71,233,0.442062823620971,32.49335449315612
Brandon LaFell,LaFeBr00,CIN,WR,-40,74,208,0.442062823620971,26.7027027027027
Nick O'Leary,OLeaNi00,BUF,TE,-40,75,247,0.442062823620971,30.869511111111112
Jaron Brown,BrowJa03,ARI,WR,-41,74,205,0.42750577774497467,26.31756756756757
Marcus Mariota,MariMa01,TEN,QB,-41,76,215,0.42750577774497467,26.167763157894736
Stephen Anderson,AndeSt01,HOU,TE,-42,74,230,0.4129487318689783,29.527027027027028
Luke Willson,WillLu00,SEA,TE,-43,77,252,0.39839168599298197,29.87957497048406
Matt Breida,BreiMa00,SFO,RB,-44,70,190,0.3838346401169856,27.259183673469387
Kendall Wright,WrigKe01,CHI,WR,-44,70,194,0.3838346401169856,27.833061224489796
Matt Forte,FortMa00,NYJ,RB,-44,73,221,0.3838346401169856,29.154250328391818
Andy Dalton,DaltAn00,CIN,QB,-44,74,215,0.3838346401169856,27.60135135135135
Kenny Golladay,GollKe00,DET,WR,-44,76,218,0.3838346401169856,26.532894736842106
Ricky Seals-Jones,SealRi00,ARI,TE,-44,77,243,0.3838346401169856,28.812447292966773
Corey Clement,ClemCo00,PHI,RB,-45,70,220,0.36927759424098927,31.56326530612245
Emmanuel Sanders,SandEm00,DEN,WR,-45,71,186,0.36927759424098927,25.938901011704026
Adam Humphries,HumpAd00,TAM,WR,-45,71,195,0.36927759424098927,27.194009125173576
Marlon Mack,MackMa00,IND,RB,-45,71,213,0.36927759424098927,29.704225352112676
