Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
95,Antonius Cleveland\clevean01,SG,23,DAL,13,81,5.1,.317,.071,.286,2.7,11.5,7.0,3.3,3.7,4.4,11.3,10.0,,-0.1,0.1,0.0,-0.004,,-7.2,4.6,-2.6,0.0
96,John Collins\collijo01,PF,20,ATL,38,841,21.1,.631,.025,.374,14.1,21.0,17.5,7.9,1.5,4.3,13.9,19.9,,2.1,0.9,3.0,.174,,0.9,1.2,2.1,0.9
97,Zach Collins\colliza01,C,20,POR,29,429,7.9,.458,.301,.130,6.3,16.6,11.5,7.8,1.0,2.3,14.5,15.6,,-0.3,0.5,0.3,.031,,-3.9,0.8,-3.1,-0.1
98,Kyle Collinsworth\colliky01,SF,26,DAL,5,33,9.5,.735,.333,1.333,0.0,14.1,6.8,8.3,1.5,0.0,17.4,8.0,,0.0,0.0,0.1,.097,,-2.5,-0.1,-2.6,0.0
99,Darren Collison\collida01,PG,30,IND,44,1326,18.7,.620,.318,.238,2.2,8.0,5.1,25.2,2.0,0.5,11.1,17.3,,4.0,0.9,4.9,.178,,3.5,-1.4,2.1,1.4
100,Nick Collison\collini01,PF,37,OKC,8,44,14.5,.838,.000,.667,7.5,21.1,14.1,9.8,0.0,0.0,20.5,9.7,,0.1,0.0,0.2,.180,,-0.8,-1.7,-2.5,0.0
101,Mike Conley\conlemi01,PG,30,MEM,12,373,16.0,.520,.458,.393,0.0,8.5,4.2,22.8,1.6,0.7,8.4,26.4,,0.5,0.2,0.7,.087,,1.3,-3.3,-2.0,0.0
102,Pat Connaughton\connapa01,SG,25,POR,45,892,10.7,.580,.561,.130,1.8,10.5,6.2,9.0,0.5,1.3,9.7,13.8,,1.1,0.7,1.8,.098,,-0.3,-0.6,-0.9,0.2
103,Quinn Cook\cookqu01,PG,24,GSW,10,103,10.2,.543,.483,.034,2.4,8.9,5.9,20.0,0.0,0.0,9.2,13.7,,0.2,0.0,0.2,.097,,-0.4,-3.9,-4.3,-0.1
104,Charles Cooke\cookech01,SG,23,NOP,6,18,1.3,.338,.500,.250,0.0,0.0,0.0,7.5,2.7,0.0,10.1,24.1,,-0.1,0.0,-0.1,-0.180,,-9.0,-6.1,-15.1,-0.1
105,Jack Cooley\cooleja01,PF,26,SAC,1,2,49.0,.532,.000,2.000,0.0,59.8,28.8,63.0,0.0,0.0,0.0,42.2,,0.0,0.0,0.0,.530,,12.7,5.6,18.3,0.0
106,Matt Costello\costema01,C,24,SAS,3,18,3.4,.333,.000,.000,6.2,36.9,21.6,0.0,0.0,9.3,25.0,10.0,,0.0,0.0,0.0,.020,,-12.4,1.6,-10.8,0.0
107,DeMarcus Cousins\couside01,C,27,NOP,44,1587,22.8,.581,.338,.445,7.1,31.5,19.8,23.1,2.1,3.6,18.7,32.5,,1.7,2.6,4.2,.128,,1.7,3.1,4.8,2.7
108,Robert Covington\covinro01,PF,27,PHI,39,1266,12.7,.570,.656,.172,2.8,16.3,9.8,8.4,2.5,1.8,14.1,17.7,,0.7,2.0,2.7,.102,,0.3,1.5,1.8,1.2
